N,P,K,temperature,humidity,ph,rainfall,soil_moisture,label
74,52,61,29.0,71.2,6.3,266.8,77,sugarcane
96,56,51,22.8,83.4,6.4,236.3,60,rice
48,37,33,27.0,62.2,5.6,97.5,29,barley
55,45,40,27.8,66.9,6.6,139.4,62,cotton
86,56,43,23.3,60.4,6.9,127.5,58,maize
71,38,61,28.3,79.9,6.6,178.7,55,groundnut
72,32,57,28.4,73.1,6.8,168.6,67,groundnut
87,50,45,24.6,74.4,7.0,198.0,54,maize
28,33,22,25.3,87.1,5.8,231.0,75,pulses
45,47,47,28.6,51.7,6.3,108.7,30,millet
42,45,55,30.1,51.5,6.2,81.3,25,millet
42,52,46,28.9,52.3,6.5,104.0,29,millet
85,48,44,22.4,83.8,6.6,242.8,67,rice
84,58,41,24.1,75.4,6.8,128.1,53,maize
51,48,47,26.7,68.8,7.2,126.0,35,wheat
22,30,26,24.0,88.3,5.8,188.6,66,pulses
97,54,60,20.2,88.9,6.6,217.7,63,rice
84,60,51,23.0,83.1,6.5,216.6,62,rice
87,59,39,24.4,72.2,6.6,196.0,60,maize
74,50,38,23.6,63.4,6.6,163.1,58,maize
54,48,49,23.3,63.4,6.9,140.8,38,wheat
66,36,61,30.0,76.5,6.6,169.2,61,groundnut
55,46,43,29.3,74.4,6.6,127.0,62,cotton
24,35,28,24.0,81.4,6.0,245.0,74,pulses
68,50,55,26.4,81.6,6.5,273.1,84,sugarcane
99,60,51,24.4,84.5,6.6,243.3,76,rice
72,41,64,27.3,85.4,6.5,279.2,83,sugarcane
86,60,42,24.5,75.1,6.7,122.6,49,maize
59,48,48,28.5,71.8,6.2,175.5,59,cotton
91,53,48,25.0,77.1,6.2,188.9,61,rice
99,54,44,21.9,88.4,6.2,186.2,75,rice
91,51,54,22.8,89.9,6.3,192.4,76,rice
38,53,47,31.9,52.9,6.3,97.3,35,millet
50,45,45,32.0,67.5,6.5,178.5,50,cotton
28,25,24,24.2,88.6,5.9,211.3,67,pulses
65,56,44,24.9,67.7,6.8,149.9,45,wheat
66,31,62,28.3,70.2,6.6,145.6,55,groundnut
70,45,63,29.0,83.8,6.9,284.8,81,sugarcane
74,37,64,28.7,73.7,6.6,150.2,61,groundnut
75,53,37,22.3,64.4,6.9,140.8,52,maize
55,35,35,27.4,57.4,6.1,107.3,35,barley
78,49,57,27.6,89.7,6.8,266.5,84,sugarcane
89,58,43,23.4,67.6,6.5,123.1,55,maize
71,33,63,26.1,74.4,6.9,173.4,69,groundnut
25,35,21,22.3,82.3,6.0,195.2,72,pulses
72,56,38,25.1,78.2,6.9,196.4,59,maize
49,33,30,27.8,63.5,5.7,92.5,26,barley
61,45,46,22.4,63.7,7.2,142.7,35,wheat
52,35,36,26.3,59.6,6.1,83.2,26,barley
68,30,61,28.9,70.6,7.0,140.0,64,groundnut
46,37,36,25.2,58.2,5.7,81.7,34,barley
84,55,51,24.4,81.1,6.5,245.5,61,rice
87,53,41,23.6,71.6,6.7,137.2,56,maize
41,51,52,29.9,58.3,6.4,96.7,25,millet
92,55,55,21.6,76.2,6.5,200.6,61,rice
70,59,41,23.7,74.1,6.9,164.7,59,maize
77,50,42,21.3,76.4,6.7,172.3,53,maize
72,36,63,29.7,71.9,6.9,144.2,64,groundnut
69,36,63,28.5,75.3,6.7,174.2,62,groundnut
50,43,48,27.2,65.9,6.3,141.5,64,cotton
73,55,58,27.8,85.9,6.2,272.4,80,sugarcane
67,33,65,25.8,79.4,7.0,165.7,62,groundnut
88,48,60,23.9,77.2,6.8,213.1,74,rice
72,35,55,29.1,79.0,6.9,148.7,66,groundnut
55,32,39,27.1,63.8,5.6,86.3,35,barley
70,42,59,27.5,88.8,6.9,269.0,84,sugarcane
58,49,50,29.8,68.0,6.5,140.3,63,cotton
78,53,35,23.5,62.5,6.5,141.8,58,maize
54,51,47,26.9,69.5,7.1,114.6,42,wheat
29,35,23,25.7,83.0,5.6,193.5,79,pulses
73,39,62,26.6,79.0,6.8,154.2,64,groundnut
70,54,44,24.7,69.5,6.8,121.7,46,maize
49,34,37,29.3,55.7,5.7,115.9,33,barley
52,45,46,28.7,67.8,6.6,153.2,53,cotton
46,32,34,26.3,55.3,6.0,117.1,27,barley
57,47,40,22.5,64.9,6.6,124.4,36,wheat
89,58,41,21.0,78.2,6.9,191.0,55,maize
57,44,47,27.3,72.2,6.5,143.2,60,cotton
66,48,61,27.4,78.6,6.4,215.8,73,sugarcane
87,42,44,21.3,78.8,6.2,227.6,70,rice
52,50,42,28.4,72.3,6.4,126.4,51,cotton
72,60,41,23.6,79.7,6.7,141.2,59,maize
69,44,64,29.7,89.9,6.3,216.9,84,sugarcane
37,51,49,30.6,50.1,6.5,82.3,31,millet
58,43,46,27.2,68.5,6.6,122.2,60,cotton
62,58,41,22.5,66.9,6.8,119.2,40,wheat
89,57,40,24.9,83.9,6.6,202.7,76,rice
74,54,55,29.3,86.2,6.3,295.5,76,sugarcane
59,47,50,31.1,66.5,6.3,169.6,58,cotton
52,46,47,27.0,64.0,7.0,104.5,44,wheat
35,51,48,28.4,53.6,6.4,81.0,30,millet
50,50,50,25.5,66.4,6.8,133.0,36,wheat
82,43,43,21.2,86.8,6.5,200.0,76,rice
38,47,51,32.0,52.0,6.2,100.2,28,millet
62,47,44,27.5,68.5,7.0,137.7,43,wheat
51,38,32,27.7,56.2,5.8,89.6,26,barley
44,47,48,30.6,55.5,6.4,104.6,26,millet
75,47,53,28.5,71.1,6.9,217.9,73,sugarcane
70,38,60,28.6,78.6,6.8,140.1,64,groundnut
45,34,31,27.1,61.6,5.9,103.0,27,barley
40,53,49,28.1,58.7,6.1,107.8,31,millet
90,57,53,23.1,75.2,6.0,231.4,72,rice
56,44,42,27.7,70.8,6.4,171.9,61,cotton
66,31,65,26.6,71.8,6.8,142.3,69,groundnut
45,38,32,27.3,55.1,5.5,112.8,30,barley
43,52,49,28.1,54.6,6.4,85.8,35,millet
53,57,41,27.0,56.1,7.0,126.6,41,wheat
21,31,28,24.1,80.9,5.7,198.7,71,pulses
87,42,48,23.8,89.8,6.4,195.7,73,rice
68,39,58,28.3,74.8,7.0,151.5,61,groundnut
55,30,39,28.3,60.4,6.1,107.9,28,barley
71,53,53,27.2,74.4,6.6,207.5,76,sugarcane
38,46,47,28.8,56.0,6.1,88.1,26,millet
79,41,54,25.1,77.8,6.2,279.4,84,sugarcane
80,52,50,21.9,83.0,6.6,215.6,73,rice
83,55,45,20.8,81.1,6.6,204.0,65,rice
54,32,38,29.2,63.6,5.5,110.8,34,barley
47,40,32,29.4,56.0,5.7,111.3,25,barley
70,33,58,25.4,79.7,6.8,174.5,57,groundnut
51,50,44,23.5,55.6,6.8,125.0,37,wheat
72,58,38,24.2,65.8,6.5,160.1,45,maize
67,31,64,29.3,79.0,6.6,156.6,60,groundnut
89,60,40,23.0,71.9,6.8,175.0,49,maize
89,54,41,22.3,78.0,6.3,230.6,75,rice
22,34,30,22.8,84.3,6.0,188.3,71,pulses
59,47,40,25.2,65.3,6.9,129.0,35,wheat
98,47,60,24.8,77.2,6.4,244.0,63,rice
78,58,42,22.9,72.2,6.6,133.2,52,maize
71,38,57,29.9,74.7,6.5,156.0,69,groundnut
96,43,49,23.8,87.9,6.0,204.4,70,rice
54,41,46,31.3,68.6,6.3,161.1,56,cotton
37,55,55,29.3,58.9,6.2,90.7,34,millet
81,50,41,25.9,72.1,6.9,194.5,49,maize
52,46,42,26.2,63.3,7.2,111.9,44,wheat
99,48,60,21.4,82.6,6.7,192.1,60,rice
21,29,27,24.7,87.9,5.7,225.6,65,pulses
46,35,34,25.5,57.7,5.7,97.5,29,barley
89,50,35,26.0,73.1,6.7,166.0,51,maize
25,31,27,22.9,81.1,6.1,214.0,65,pulses
69,30,62,27.4,71.9,6.7,171.6,66,groundnut
77,50,37,21.9,68.7,6.9,144.3,54,maize
87,58,37,22.2,76.4,6.9,194.8,60,maize
89,54,40,25.3,78.4,6.5,130.0,54,maize
38,51,50,29.0,50.1,6.1,80.7,33,millet
70,55,43,23.2,63.7,7.1,144.0,37,wheat
47,40,38,27.9,61.1,5.8,87.9,35,barley
